CSCX;CSC;Predio;Direccion;Pais;Departamento;Municipio;latitud;longitud
2023;2858;CONJUNTO RESIDENCIAL K 112 PI ETAPA 1-VIS;CARRERA 112  48 - 92;COLOMBIA;Valle del cauca;CALI;L;L%&
2025;1828;CONJUNTO GUALANDAY A-B;CARRERA 113 BIS  5-80/81;COLOMBIA;Valle del cauca;CALI;L;L%&
2031;2635;CONJUNTO RESIDENCIAL  PUNTA DEL ESTE;CARRERA 113  28 -71;COLOMBIA;Valle del cauca;CALI;L;L%&
2039;2491;CONJUNTO RESIDENCIAL  PORTAL DEL ALFEREZ;CARRERA 115  1 8 -43;COLOMBIA;Valle del cauca;CALI;L;L%&
2046;286;CONJUNTO MIRA MONTES;CARRERA 115  6-226;COLOMBIA;Valle del cauca;CALI;L;L%&
2057;2832;CONJUNTO RESIDENCIAL GAUDI;CARRERA 118  04-147;COLOMBIA;Valle del cauca;CALI;L;L%&
2060;2020;CONDOMINIO ALTOS DE LA COLINA;CARRERA 118  4-220;COLOMBIA;Valle del cauca;CALI;L;L%&
2061;2995;AREKA CONJUNTO RESIDENCIAL ETAPA 1 SUBETAPA 1A;CARRERA 119 A  60 - 56;COLOMBIA;Valle del cauca;CALI;L;L%&
2062;3071;CANELO CONJUNTO RESIDENCIAL ETAPA 1;CARRERA 119 A  60 B - 75;COLOMBIA;Valle del cauca;CALI;L;L%&
2063;3022;AZALEA CONJUNTO RESIDENCIAL VIS - ETAPA 1 SUB ETAPA 1A Y SUB ETAPA 1B;CARRERA 119 B  60 B - 147;COLOMBIA;Valle del cauca;CALI;L;L%&
2064;3014;KAMELIA CONJUNTO RESIDENCIAL  ETAPA 1 SUBETAPA 1 B VIS ;CARRERA 119 B  60-195;COLOMBIA;Valle del cauca;CALI;L;L%&
2065;2970;PARCELACION CONDADO DE LA RIVERA ;CARRERA 119  5 - 122;COLOMBIA;Valle del cauca;CALI;L;L%&
2074;3012;EDIFICIO GRATTA;CARRERA 121 A  42 - 16;COLOMBIA;Valle del cauca;CALI;L;L%&
2075;2895;CONJUNTO RESIDENCIAL ACUARELA II VIS;CARRERA 121 A  47 - 108;COLOMBIA;Valle del cauca;CALI;L;L%&
2076;2872;CONJUNTO RESIDENCIAL AGUACLARA VIS;CARRERA 121 A  48 - 100;COLOMBIA;Valle del cauca;CALI;L;L%&
2082;2935;EDIFICIO CIELOS DE CIUDAD PACIFICA VIS;CARRERA 121  47 A - 123;COLOMBIA;Valle del cauca;CALI;L;L%&
2083;2919;CONJUNTO RESIDENCIAL VENTURA II VIS;CARRERA 121  47 A - 46;COLOMBIA;Valle del cauca;CALI;L;L%&
2090;1986;CONJUNTO RESIDENCIAL JARDIN DE PANCE;CARRERA 123  14-138;COLOMBIA;Valle del cauca;CALI;L;L%&
